,Bigram
0,26 jul
1,deputy president
2,deputy president
3,agriculture land
4,death threats
5,family employees
6,nkomazi wilderness
7,badplaas valley
8,greater badplaas
9,land claims
10,protection order
11,protection order
12,city press
13,agriculture land
14,deputy president
15,deputy president
16,city press
17,court heard
18,properties badplaas
19,nkomazi wilderness
20,court heard
21,enquiries investigations
22,land claims
23,land claims
24,enquiries investigations
25,land claims
26,land claims
27,lodged properties
28,land claims
29,greater badplaas
30,land claims
31,land claims
32,lodged properties
33,badplaas valley
34,nkomazi reserve
35,grand valley
36,kerzner international
37,nkomazi reserve
38,kerzner international
39,joint venture
40,joint venture
41,joint venture
42,nkomazi wilderness
43,wildlife permits
44,wildlife permits
45,alleged defendants
46,nkomazi wilderness
47,alleged defendants
48,state officials
49,land claims
50,death threats
51,family employees
52,badplaas valley
53,grand valley
54,state officials
55,26 jul
56,11 jul
57,04 jul
58,city press
59,11 jul
60,04 jul
